smiles	logP	logS	logP-err	logS-err	logP-warn	logS-warn
CC1CC2(C)C(CCC3C4CCC(O)C4(C)CCC23)CC1=O	3.81	-4.70	0.37	0.82			CC1CC2(C)C(CCC3C4CCC(O)C4(C)CCC32)CC1=O
O=C(NC(CO)C(O)c1ccc(I)cc1)C(Cl)Cl	1.91	-3.41	0.70	1.19			O=C(NC(CO)C(O)c1ccc(I)cc1)C(Cl)Cl
NC(=O)c1cc(N(=O)=O)cc(N(=O)=O)c1	0.52	-3.14	0.40	1.27			NC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
Cn1cc(N(=O)=O)nc1N(=O)=O	0.55	-2.25	0.34	0.91			Cn1cc([N+](=O)[O-])nc1[N+](=O)[O-]
CCc1csc(c2ccc(C(C)C(=O)O)cc2F)n1	4.18	-4.72	0.34	1.35			CCc1csc(-c2ccc(C(C)C(=O)O)cc2F)n1
O=C(C=Cc1cccc(N(=O)=O)c1)C(F)(F)F	2.85	-5.10	0.56	1.26			O=C(C=Cc1cccc([N+](=O)[O-])c1)C(F)(F)F
CCCCCCCCCCCCN(CCS(=O)(O[NH4])=O)(Cl)(C)C	1.40	-5.71	1.20	2.39	logP	logS	CCCCCCCCCCCC[N+](C)(C)CCS(=O)(=O)[O-]
COc1c(N(C)C)cc(CC2CNC(=N)NC2=N)cc1N(C)C	1.34	-3.56	0.69	1.39			COc1c(N(C)C)cc(Cc2c[nH]c(=N)[nH]c2=N)cc1N(C)C
CCc1cc(C(=O)NN)ccn1	0.22	-1.21	0.39	0.86			CCc1cc(C(=O)NN)ccn1
CC(C)C(C)P(C)(C)=O	1.80	-1.67	0.79	2.39		logS	CC(C)C(C)P(C)(C)=O
COC(=O)Nc1ccccc1I	2.80	-3.17	0.30	0.76			COC(=O)Nc1ccccc1I
C#CCOc1cc(N=CNOC)cc(F)c1OCC#C	1.59	-4.27	0.73	2.39		logS	C#CCOc1cc(N=CNOC)cc(F)c1OCC#C
O=N(=O)c1ccc(C=Cc2nccc(Cl)n2)o1	2.28	-3.58	0.43	0.80			O=[N+]([O-])c1ccc(C=Cc2nccc(Cl)n2)o1
Nc1ccc3c(c1)Cc2cc(N(=O)=O)ccc23	3.10	-4.01	0.70	1.76			Nc1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2
Clc1cc3c(cc1Cl)Oc2cc(Cl)c(Cl)cc2O3	6.59	-5.94	0.30	1.15			Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2
CCCCCCOC(=O)c1cccnc1	3.06	-2.15	0.34	1.07			CCCCCCOC(=O)c1cccnc1
Cc1cnc(c2ccccc2)c(c3ccccc3)n1	4.09	-4.42	0.30	0.95			Cc1cnc(-c2ccccc2)c(-c2ccccc2)n1
CC(C)C(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)O	-1.69	-2.14	0.46	1.30			CC(C)C(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)O
C=CCOc1ccccc1OCC(CNC(C)C)OC(=O)C(C)C	3.72	-3.61	0.36	1.61			C=CCOc1ccccc1OCC(CNC(C)C)OC(=O)C(C)C
CC(=O)N=C1CNc2ccccc2N1	1.61	-2.54	0.73	1.71			CC(=O)N=c1cnc2ccccc2[nH]1
Cc1nc[nH]c1CSCCNc2cccc(O)n2	2.00	-3.65	0.72	1.51			Cc1nc[nH]c1CSCCNc1cccc(O)n1
Oc1ccc2ccc(O)cc2c1	2.03	-2.48	0.30	0.70			Oc1ccc2ccc(O)cc2c1
NC(Cc1ccccc1)C(=O)NC(Cc2c[nH]c4ccccc24)C(=O)NC(Cc3c[nH]cn3)C(=O)O	-0.13	-4.33	0.38	1.33			NC(Cc1ccccc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1c[nH]cn1)C(=O)O
CNC(=O)Oc1ccccc1SC	1.91	-1.97	0.34	0.94			CNC(=O)Oc1ccccc1SC
CCC(C)c1ccccc1OC(=O)N(C)C	3.38	-2.68	0.45	0.92			CCC(C)c1ccccc1OC(=O)N(C)C
CCOS(=O)(=O)c1cccc2c1C(C)(C)CO2	2.26	-3.07	0.35	0.73			CCOS(=O)(=O)c1cccc2c1C(C)(C)CO2
CC(C)n1c(C=CC(O)CC(O)CC(=O)O)c(c2ccc(F)cc2)c3ccccc13	3.69	-4.97	0.76	0.79			CC(C)n1c(C=CC(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21
O=C(C=Cc1ccccc1)OCC=Cc2ccccc2	4.62	-5.50	0.74	1.80			O=C(C=Cc1ccccc1)OCC=Cc1ccccc1
CSc1ccc3c(c1)C(c2ccccc2)=NCC(=O)N3C	2.71	-4.95	0.60	1.36			CSc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2C
CC(C)C(NC(=O)C(N)CCC(N)=O)C(=O)O	-2.92	-1.51	0.38	1.27			CC(C)C(NC(=O)C(N)CCC(N)=O)C(=O)O
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c2ccc(Cl)cc2Cl	3.54	-5.73	0.30	0.98			CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccc(Cl)cc1Cl
CC(=O)NN1CC=CCC1	0.33	0.22	0.40	0.92			CC(=O)NN1CC=CCC1
CCCCCCC1CCC(=O)O1	3.52	-3.13	0.66	0.78			CCCCCCC1CCC(=O)O1
CN1C(=O)N(C)C3(c4ccccc4)NN5C(SC(=Cc6ccc(Br)cc6)C5=O)=NC13c2ccccc2	3.98	-5.00	0.69	2.39		logS	CN1C(=O)N(C)C2(c3ccccc3)Nn3c(sc(=Cc4ccc(Br)cc4)c3=O)=NC12c1ccccc1
O=C1CC(Sc2ccc(Cl)cc2)N1	2.12	-2.82	0.47	0.96			O=C1CC(Sc2ccc(Cl)cc2)N1
CSC(C)=NOC(=O)N(C)SN(C(=O)c1ccc(C)cc1)C(C)C	3.09	-4.26	0.56	1.56			CSC(C)=NOC(=O)N(C)SN(C(=O)c1ccc(C)cc1)C(C)C
CC(=O)OCCC(C)C	2.36	-1.80	0.43	1.05			CC(=O)OCCC(C)C
N#Cc1ccc(CC=NC=O)cc1	1.58	-3.27	0.70	0.76			N#Cc1ccc(CC=NC=O)cc1
O=N(=O)C=C1SCCN1Cc2ccc(Cl)nc2	0.70	-3.33	0.50	2.39		logS	O=[N+]([O-])C=C1SCCN1Cc1ccc(Cl)nc1
CC(C)c1csc(c2ccc(C(C)C(=O)O)cc2Cl)n1	4.77	-5.03	0.41	0.94			CC(C)c1csc(-c2ccc(C(C)C(=O)O)cc2Cl)n1
CCCN=C(N)N=C(N)Nc1ccc(Cl)cc1	1.88	-2.96	0.74	1.56			CCCN=C(N)N=C(N)Nc1ccc(Cl)cc1
O=C1CC(c2ccccc2)Oc3ccccc13	3.10	-4.29	0.62	1.17			O=c1cc(-c2ccccc2)oc2ccccc12
O=C(Cc1ccccc1)Nc2ccccc2	2.71	-3.51	0.40	0.79			O=C(Cc1ccccc1)Nc1ccccc1
CCOP(N)(=O)ON=C(C#N)c1ccccc1	2.19	-2.36	0.53	2.39		logS	CCOP(N)(=O)ON=C(C#N)c1ccccc1
COc1cnc2ccccc2n1	2.00	-1.70	0.41	0.83			COc1cnc2ccccc2n1
CCc1ncc(N(=O)=O)n1CCNC(=S)OC	1.56	-3.19	0.31	1.52			CCc1ncc([N+](=O)[O-])n1CCNC(=S)OC
CCOC(=O)CN(C(=O)CCl)c1ccccc1Cl	2.38	-3.41	0.47	1.02			CCOC(=O)CN(C(=O)CCl)c1ccccc1Cl
Cc1c(N(=O)=O)cccc1N(=O)=O	1.81	-3.20	0.34	1.04			Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-]
CC(=O)NNC(=O)Nc1ccc(Br)cc1	1.38	-3.45	0.30	1.47			CC(=O)NNC(=O)Nc1ccc(Br)cc1
C=Cc1cc(C)ccc1C	3.74	-3.82	0.54	0.82			C=Cc1cc(C)ccc1C
CCOC(=O)c1c(CC(C)C)csc1N=CC2C(C)NN(c3ccccc3)C2=O	3.46	-5.11	0.73	1.36			CCOC(=O)c1c(CC(C)C)csc1N=Cc1c(C)[nH]n(-c2ccccc2)c1=O
CCN1CCC(CNC(=O)c2cc(S(=O)(=O)CC)ccc2OC)C1	1.40	-3.24	0.47	0.98			CCN1CCC(CNC(=O)c2cc(S(=O)(=O)CC)ccc2OC)C1
CCC=C(CC(=O)NC(C)CC)c1ccc(Cl)cc1	4.55	-4.58	0.46	1.40			CCC=C(CC(=O)NC(C)CC)c1ccc(Cl)cc1
N#Cc1cccs1	0.89	-2.07	0.44	1.36			N#Cc1cccs1
CCc1ccc(S(N)(=O)=O)cc1	1.29	-2.22	0.42	0.66			CCc1ccc(S(N)(=O)=O)cc1
CC(=O)OCCN1C(=O)C(OC(C)=O)N=C(c2ccccc2)c3cc(Cl)ccc13	2.89	-4.71	0.33	0.95			CC(=O)OCCN1C(=O)C(OC(C)=O)N=C(c2ccccc2)c2cc(Cl)ccc21
C=C(C)C(=O)OC1CCCCC1	2.78	-2.84	0.66	1.27			C=C(C)C(=O)OC1CCCCC1
O=N(=O)c1ccn(=O)c2c(F)cccc12	1.24	-3.09	0.73	1.82			O=[N+]([O-])c1cc[n+]([O-])c2c(F)cccc12
NNC(N)=O	-1.88	0.64	0.35	0.76			NNC(N)=O
Clc1ccc(c2ccccc2)cc1Cl	5.13	-5.57	0.30	0.61			Clc1ccc(-c2ccccc2)cc1Cl
c1ccc2c(c1)COC2	1.39	-1.61	0.48	1.06			c1ccc2c(c1)COC2
CCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1	2.75	-2.63	0.30	1.44			CCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1
CCCCCCCCCCCCCCO	6.21	-5.68	0.36	0.67			CCCCCCCCCCCCCCO
Clc1cc(Cl)cc(Oc2ccc(Cl)c(Cl)c2)c1	6.02	-6.45	0.30	1.08			Clc1cc(Cl)cc(Oc2ccc(Cl)c(Cl)c2)c1
Cc1ccc2nc(c3ccc(N(C)C)cc3)sc2c1	4.85	-4.47	0.78	0.79			Cc1ccc2nc(-c3ccc(N(C)C)cc3)sc2c1
CN(C)CCOC(=O)c1ccc(C#N)cc1	1.23	-2.21	0.71	1.07			CN(C)CCOC(=O)c1ccc(C#N)cc1
CCCc1ccc(NC(=O)N(C)C)cc1	2.70	-2.60	0.36	0.80			CCCc1ccc(NC(=O)N(C)C)cc1
CCN(CC)CCNC(=O)c1cc(I)c(N)cc1OC	3.02	-3.47	0.63	1.17			CCN(CC)CCNC(=O)c1cc(I)c(N)cc1OC
CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)O	0.21	-4.90	0.47	1.52			CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)O
CCCCOc1ccc(C(=O)N(CCN2C(=O)c4ccccc4C2=O)c3cccc(OC)c3)cc1	4.43	-5.46	0.76	1.14			CCCCOc1ccc(C(=O)N(CCN2C(=O)c3ccccc3C2=O)c2cccc(OC)c2)cc1
CC(=O)N=C1CC(C(=O)NN)CCN1	-1.32	-2.02	0.55	1.35			CC(=O)N=c1cc(C(=O)NN)cc[nH]1
N=C1NC(=O)N(C2CCC(CO)O2)CC1F	-0.87	-2.24	0.70	2.39		logS	N=c1[nH]c(=O)n(C2CCC(CO)O2)cc1F
C=CCN1C(=S)N(c2ccc(CC)cc2)C3CS(=O)(=O)CC13	2.06	-3.52	0.66	1.58			C=CCN1C(=S)N(c2ccc(CC)cc2)C2CS(=O)(=O)CC21
O=C1Nc2c(O)ccc(CCNCCSCCCOCCc3ccc(NS(=O)(=O)c4ccccc4)cc3)c2S1	4.32	-6.21	0.77	1.08			O=c1[nH]c2c(O)ccc(CCNCCSCCCOCCc3ccc(NS(=O)(=O)c4ccccc4)cc3)c2s1
O=N(=O)c1ncn(CC(O)CF)n1	-0.79	-1.42	0.32	2.39		logS	O=[N+]([O-])c1ncn(CC(O)CF)n1
N#CC(C#N)=NNc1cccc(O)c1	2.30	-2.83	0.69	2.39		logS	N#CC(C#N)=NNc1cccc(O)c1
OCC(O)CO	-1.93	1.10	0.41	0.67			OCC(O)CO
O=N(=O)c1ccc2ccccc2c1	3.29	-3.74	0.34	0.63			O=[N+]([O-])c1ccc2ccccc2c1
Clc1cc(Cl)c(Cl)c(Oc2cc(Cl)c(Cl)c(Cl)c2)c1	6.84	-7.72	0.30	1.05			Clc1cc(Cl)c(Cl)c(Oc2cc(Cl)c(Cl)c(Cl)c2)c1
CC(=O)Oc1ccc(CC=NC=O)cc1	1.76	-3.65	0.61	0.90			CC(=O)Oc1ccc(CC=NC=O)cc1
Brc1ccsc1	2.70	-2.26	0.30	0.82			Brc1ccsc1
CCCCCCOC(=O)C1=C=CC(=O)NC(=O)N1	2.17	-2.96	0.41	2.39		logS	CCCCCCOC(=O)C1=C=CC(=O)NC(=O)N1
CS(=O)(=O)F	0.50	-1.28	0.80	2.39		logS	CS(=O)(=O)F
ClC=C1C2CC(C(Cl)C2(Cl)Cl)C1(C(Cl)Cl)C(Cl)Cl	5.84	-6.98	0.48	0.83			ClC=C1C2CC(C(Cl)C2(Cl)Cl)C1(C(Cl)Cl)C(Cl)Cl
NNC(=O)Nc1cccc(O)c1	-0.12	-1.56	0.30	0.89			NNC(=O)Nc1cccc(O)c1
CCOC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3	3.52	-3.05	0.36	2.39		logS	CCOC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3
CN(C)N=Nc1cccc(C(F)(F)F)c1	3.92	-3.27	0.31	1.88			CN(C)N=Nc1cccc(C(F)(F)F)c1
CCCC1(CC)C(=O)NC(=O)NC1=O	1.23	-1.85	0.33	0.69			CCCC1(CC)C(=O)NC(=O)NC1=O
ClCCN(CCCl)c1ccccc1	3.31	-3.17	0.75	0.99			ClCCN(CCCl)c1ccccc1
NC(Cc1ccc(O)cc1)C(=O)O	-2.39	-1.37	0.34	0.83			NC(Cc1ccc(O)cc1)C(=O)O
CC1CCCCN1N=O	0.97	-0.83	0.37	0.64			CC1CCCCN1N=O
OCC1COC(Cn2cncn2)(c3ccc(Cl)cc3Cl)O1	1.57	-2.76	0.43	0.88			OCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1
N#CCc1ccco1	1.27	-1.33	0.54	1.55			N#CCc1ccco1
CCOC(=O)c1c(C)[nH]c(C)c1C(=O)COC(=O)c2ccc(F)c(S(=O)(=O)N3CCOCC3)c2	2.03	-4.19	0.80	1.70			CCOC(=O)c1c(C)[nH]c(C)c1C(=O)COC(=O)c1ccc(F)c(S(=O)(=O)N2CCOCC2)c1
CC(=O)N=C1NONC1=N	-0.95	-1.81	0.73	2.39		logS	CC(=O)N=c1[nH]o[nH]c1=N
c1ccc(Oc2ccccc2)cc1	3.68	-3.59	0.46	1.22			c1ccc(Oc2ccccc2)cc1
N#CSCSc1nc2ccccc2s1	3.29	-3.21	0.66	2.39		logS	N#CSCSc1nc2ccccc2s1
COC(=O)C1=CCCN(C)C1	0.55	0.46	0.80	1.03			COC(=O)C1=CCCN(C)C1
CC1NNC(=N)O1	-1.65	-0.83	0.72	0.95			Cc1n[nH]c(=N)o1
O=C(CS(=O)(=O)Cc1ccccc1)Nc2ccc3c(c2)OCCO3	1.62	-3.56	0.58	0.94			O=C(CS(=O)(=O)Cc1ccccc1)Nc1ccc2c(c1)OCCO2
Clc1ccc2c(Cl)c(Cl)c(Cl)c(Cl)c2c1	6.34	-7.31	0.42	1.09			Clc1ccc2c(Cl)c(Cl)c(Cl)c(Cl)c2c1
NC(=O)c1cccs1	0.34	-1.72	0.32	0.72			NC(=O)c1cccs1
Clc1cc(Cl)c(Cl)c(Cl)c1Cl	5.22	-5.43	0.35	0.65			Clc1cc(Cl)c(Cl)c(Cl)c1Cl
CCCCC(=O)OC(C(=O)NC1C(=O)N3C(C(=O)O)=C(C)CSC13)c2ccccc2	2.29	-3.88	0.34	1.35			CCCCC(=O)OC(C(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12)c1ccccc1
O=C(O)CN1CCN(C(=O)CN2C(=O)Sc3ccc(Cl)cc23)CC1	0.79	-2.26	0.64	2.05			O=C(O)CN1CCN(C(=O)Cn2c(=O)sc3ccc(Cl)cc32)CC1
O=C1NC(=S)NC(=O)C12CCCCC2	1.49	-2.50	0.41	1.17			O=C1NC(=S)NC(=O)C12CCCCC2
O=C(O)CNC(=O)c1ccccc1O	0.51	-1.68	0.52	0.77			O=C(O)CNC(=O)c1ccccc1O
C=CC(=O)OCCOCCOCCOCCOC(=O)C=C	1.10	-2.90	0.33	1.33			C=CC(=O)OCCOCCOCCOCCOC(=O)C=C
CCN(CCO)Cc1cccc(COc2ccccc2)c1	3.22	-3.32	0.59	1.21			CCN(CCO)Cc1cccc(COc2ccccc2)c1
NS(=O)(=O)c1cc2cc(CNCCF)sc2o1	0.91	-3.40	0.63	2.39		logS	NS(=O)(=O)c1cc2cc(CNCCF)sc2o1
O=N(=O)C=Cc1cccc(N(=O)=O)c1	1.81	-3.71	0.31	2.39		logS	O=[N+]([O-])C=Cc1cccc([N+](=O)[O-])c1
CN1CCC(=O)C(O)C1	-1.13	1.06	0.51	0.70			Cn1ccc(=O)c(O)c1
Clc1cc(Cl)c(Oc2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl	7.29	-8.43	0.30	0.84			Clc1cc(Cl)c(Oc2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl
COc1c(Cl)c(Cl)cc(Cl)c1Cl	4.64	-4.86	0.30	0.97			COc1c(Cl)c(Cl)cc(Cl)c1Cl
O=C1CC(c2ccc(O)c(O)c2)Oc3cc(O)cc(O)c13	2.15	-2.90	0.38	0.78			O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21
COCc1ccccc1	1.69	-2.12	0.44	0.62			COCc1ccccc1
CC(=O)NC(CCCCN(Cc1ccccc1)C(=O)N(C)N=O)C(=O)NCc2ccccc2	2.49	-4.93	0.50	1.39			CC(=O)NC(CCCCN(Cc1ccccc1)C(=O)N(C)N=O)C(=O)NCc1ccccc1
CC(C)C(=O)NCCNCC(O)COCCOc1ccccc1	0.71	-2.95	0.42	0.83			CC(C)C(=O)NCCNCC(O)COCCOc1ccccc1
CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1N(=O)=O	4.60	-5.67	0.58	1.34			CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]
COc1cccc(OC)c1O	1.29	-0.95	0.34	0.85			COc1cccc(OC)c1O
O=S(=O)(Nc1cccc(Cl)c1)C(F)(F)F	3.81	-3.50	0.33	0.92			O=S(=O)(Nc1cccc(Cl)c1)C(F)(F)F
COCCN(C)C1CCC(=Nn2c(C)ccc2C)NN1	0.47	-2.37	1.20	2.39	logP	logS	COCCN(C)c1ccc(=Nn2c(C)ccc2C)[nH]n1
CC(N)C(=O)NC(C)C(=O)O	-2.64	-0.36	0.41	1.08			CC(N)C(=O)NC(C)C(=O)O
O=C(O)c1ccccc1N(=O)=O	1.50	-2.41	0.35	0.69			O=C(O)c1ccccc1[N+](=O)[O-]
OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C3CC3	4.94	-5.60	0.77	1.47			OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C1CC1
CCCCOC(N)=O	0.78	-0.15	0.52	0.71			CCCCOC(N)=O
COc1ccc(C(C)NCCC(c2ccccc2)c3ccccc3)cc1OC	5.69	-6.79	0.79	1.14			COc1ccc(C(C)NCCC(c2ccccc2)c2ccccc2)cc1OC
CC(=O)n1ncc2c(O)ncnc12	-0.21	-1.21	0.32	0.72			CC(=O)n1ncc2c(O)ncnc21
CCC1(C2=CC3CCC(C2)C3)C(=O)NC(=O)NC1=O	1.88	-3.16	0.67	1.01			CCC1(C2=CC3CCC(C2)C3)C(=O)NC(=O)NC1=O
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1	3.00	-4.01	0.68	1.26			CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
COc1cc(C)c(CC2CNC(=N)NC2=N)cc1OC	0.75	-3.37	0.62	1.74			COc1cc(C)c(Cc2c[nH]c(=N)[nH]c2=N)cc1OC
CNC(=O)COC(=O)c1ccccc1	0.92	-2.38	0.33	0.93			CNC(=O)COC(=O)c1ccccc1
c1ccc3c(c1)OCCOCCOCCOCCOc2ccccc2OCCOCCOCCOCCO3	1.52	-4.75	0.30	1.55			c1ccc2c(c1)OCCOCCOCCOCCOc1ccccc1OCCOCCOCCOCCO2
O=C(OCC(=O)N1CCCC1)c2c3ccccc3cc4ccccc24	3.59	-5.17	0.40	1.32			O=C(OCC(=O)N1CCCC1)c1c2ccccc2cc2ccccc12
CCCCCCCCCCON1C(=O)NC(C)C(Br)C1=O	4.47	-4.63	0.43	1.15			CCCCCCCCCCOn1c(=O)[nH]c(C)c(Br)c1=O
CCCCNCc1ccccc1	2.80	-2.80	0.58	0.94			CCCCNCc1ccccc1
CCCSC1OC(CO)C(O)C(O)C1O	-0.94	-0.28	0.32	1.59			CCCSC1OC(CO)C(O)C(O)C1O
CCCNC(C)C(=O)Nc1ccccc1C	1.87	-2.83	0.37	1.53			CCCNC(C)C(=O)Nc1ccccc1C
CCOC(=O)C(=Cc1c(Cl)cccc1Cl)C(C)=O	3.71	-5.06	0.31	1.26			CCOC(=O)C(=Cc1c(Cl)cccc1Cl)C(C)=O
CCCCCCc1ccc(CCCN(CCCCS(=O)(O[NH4])=O)(Cl)(C)C)cc1	1.42	-7.33	1.20	2.39	logP	logS	CCCCCCc1ccc(CCC[N+](C)(C)CCCCS(=O)(=O)[O-])cc1
COC(=O)C12OCC34C(CC5C(C)C(=O)C(=O)CC5(C)C3C(O)C1O)OC(=O)C(OC(=O)C=C(C)C(C)C)C24	1.43	-3.28	0.47	1.42			COC(=O)C12OCC34C(CC5C(C)C(=O)C(=O)CC5(C)C3C(O)C1O)OC(=O)C(OC(=O)C=C(C)C(C)C)C24
CCCCCCOC(N)=O	1.87	-1.77	0.40	0.71			CCCCCCOC(N)=O
O=S1(=O)N=C(C2CCCCC2)Nc3ccccc13	2.43	-3.30	0.64	2.39		logS	O=S1(=O)N=C(C2CCCCC2)Nc2ccccc21
Fc1ccccc1CN2CCNC2=S	1.61	-3.06	0.34	1.74			Fc1ccccc1Cn1cc[nH]c1=S
CCNC(=O)Nc1ccccc1	1.46	-2.04	0.48	1.08			CCNC(=O)Nc1ccccc1
CC(=O)Nc1ccc2C(=O)C(C)C(C)Oc2c1N(=O)=O	1.73	-3.21	0.48	1.48			CC(=O)Nc1ccc2c(=O)c(C)c(C)oc2c1[N+](=O)[O-]
COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl	3.95	-5.60	0.59	1.38			COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl
CCCOc1cccc(C=C(C(C)=O)C(=O)OCC)c1	3.26	-4.50	0.34	1.19			CCCOc1cccc(C=C(C(C)=O)C(=O)OCC)c1
CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC12C	1.90	-4.23	0.38	0.61			CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C
CCC(C)C(NC(=O)C(N)Cc1ccccc1)C(=O)NC(C(=O)O)C(C)O	-0.89	-2.84	0.39	1.48			CCC(C)C(NC(=O)C(N)Cc1ccccc1)C(=O)NC(C(=O)O)C(C)O
S=C1SSCC1c2ccccc2	3.38	-4.32	0.72	1.51			S=c1sscc1-c1ccccc1
COc1ccc(C(OC(C)=O)C(Cl)(Cl)Cl)cc1	3.82	-4.73	0.53	1.11			COc1ccc(C(OC(C)=O)C(Cl)(Cl)Cl)cc1
COC(=O)C1=C(C)N=C(C)C(C(=O)OC3CCCN(Cc4ccccc4)C3)C1c2cccc(N(=O)=O)c2	4.07	-5.42	0.72	1.09			COC(=O)C1=C(C)N=C(C)C(C(=O)OC2CCCN(Cc3ccccc3)C2)C1c1cccc([N+](=O)[O-])c1
O=C(CCN1CCCCC1)CN2C(=O)CC(c3ccc(Cl)cc3)C2=O	2.57	-3.64	0.71	1.29			O=C(CCN1CCCCC1)CN1C(=O)CC(c2ccc(Cl)cc2)C1=O
CCc1cccc(C(C)C)c1NC(C)=O	2.81	-3.40	0.37	1.00			CCc1cccc(C(C)C)c1NC(C)=O
CCc1nonc1C	1.27	-0.63	0.39	0.73			CCc1nonc1C
COC(C)(C(=O)O)c1ccccc1	1.35	-1.85	0.59	1.33			COC(C)(C(=O)O)c1ccccc1
O=C(Nc1ccc(F)cc1F)c2cc(Br)cc(Br)c2O	4.97	-4.89	0.43	1.10			O=C(Nc1ccc(F)cc1F)c1cc(Br)cc(Br)c1O
CC1(C)NC(=O)NC1=O	-0.44	-0.81	0.37	0.94			CC1(C)NC(=O)NC1=O
O=C(NCc1ccccc1O)c2ccccc2	2.07	-3.65	0.31	0.66			O=C(NCc1ccccc1O)c1ccccc1
CC(C)(C)c1cc(O)ccc1N(=O)=O	3.38	-2.83	0.48	1.59			CC(C)(C)c1cc(O)ccc1[N+](=O)[O-]
CN(C)C(=O)Nc1ccc(Br)cc1	2.30	-2.64	0.42	1.31			CN(C)C(=O)Nc1ccc(Br)cc1
CCOc1cc(CC2CNC(=N)NC2=N)cc(OCC)c1C(C)=O	1.62	-3.43	0.61	1.66			CCOc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OCC)c1C(C)=O
COC(=O)c1ccc(OCC(OC(=O)n2ccnc2)C(C)(C)C)cc1	3.55	-4.13	0.36	0.88			COC(=O)c1ccc(OCC(OC(=O)n2ccnc2)C(C)(C)C)cc1
CCCCC(=O)Nc1ccccc1	2.52	-2.38	0.32	0.82			CCCCC(=O)Nc1ccccc1
CCCCC(=O)CCCC	3.10	-2.31	0.39	0.74			CCCCC(=O)CCCC
O=C1SSc2ccccc12	2.29	-2.29	0.40	1.04			O=c1ssc2ccccc12
O=C(O)c1ccccc1	1.72	-1.24	0.39	0.73			O=C(O)c1ccccc1
CC(C)(C)n1ccnc1C=NO	1.25	-1.92	0.70	2.39		logS	CC(C)(C)n1ccnc1C=NO
COC(=O)c1ccc(OC)cc1	2.05	-2.08	0.31	1.02			COC(=O)c1ccc(OC)cc1
CC(=O)c1ccccc1NC(=O)C(Cl)Cl	2.34	-3.49	0.81	1.18			CC(=O)c1ccccc1NC(=O)C(Cl)Cl
CCCC(CCC)=NN=C(N)N	1.98	-2.47	0.52	2.39		logS	CCCC(CCC)=NN=C(N)N
CC(C)c1cc(Oc2ccccc2)cc(C(C)C)c1NC(=S)NC(C)(C)C	6.04	-6.09	0.70	1.47			CC(C)c1cc(Oc2ccccc2)cc(C(C)C)c1NC(=S)NC(C)(C)C
COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1	5.13	-5.39	0.63	1.06			COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1
CCCCCC(=O)N(C)c1ccc(S(=O)(=O)N(C)C)cc1	2.10	-3.72	0.35	1.42			CCCCCC(=O)N(C)c1ccc(S(=O)(=O)N(C)C)cc1
CCCCOC(=O)NCCn1c(N(=O)=O)cnc1C	1.35	-2.34	0.43	0.67			CCCCOC(=O)NCCn1c([N+](=O)[O-])cnc1C
CC=NN(C(=O)c1ccc(OC)cc1)c2ccccc2	2.76	-4.40	0.59	0.84			CC=NN(C(=O)c1ccc(OC)cc1)c1ccccc1
